"";"Busqueda aleatoria";"	";"	";"Ascenso a la colina";"	";"	";"Vecindad var"
"Dataset";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito";"Media";"Desviación";"Tasa de exito"
"./data/files/f1.txt";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0";"295.0";"0.0";"100.0"
"./data/files/f2.txt";"1017.467";"7.601";"96.667";"987.367";"15.422";"3.333";"1023.633";"1.975";"96.667"
"./data/files/f3.txt";"35.0";"0.0";"96.667";"33.333";"0.745";"0.0";"35.0";"0.0";"96.667"
"./data/files/f4.txt";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0";"23.0";"0.0";"100.0"
"./data/files/f5.txt";"481.069";"0.0";"100.0";"465.84";"11.657";"100.0";"479.006";"11.113";"96.667"
"./data/files/f6.txt";"51.933";"0.249";"100.0";"52.0";"0.0";"100.0";"52.0";"0.0";"100.0"
"./data/files/f7.txt";"107.0";"0.0";"100.0";"107.0";"0.0";"100.0";"106.933";"0.359";"96.667"
"./data/files/f8.txt";"9765.033";"2.316";"100.0";"9760.933";"4.218";"80.0";"9766.867";"0.718";"96.667"
"./data/files/f9.txt";"130.0";"0.0";"100.0";"102.933";"9.015";"0.0";"130.0";"0.0";"100.0"
"./data/files/f10.txt";"1016.2";"10.546";"100.0";"994.533";"15.958";"90.0";"1022.6";"12.924";"96.667"
"./data/files/Knapsack1.txt";"99555.833";"450.806";"0.0";"97945.2";"4326.587";"0.0";"99764.0";"0.0";"0.0"
"./data/files/Knapsack2.txt";"139692.4";"569.026";"0.0";"139977.5";"696.081";"0.0";"141065.367";"206.912";"0.0"
"./data/files/Knapsack3.txt";"98269.033";"1818.528";"53.333";"100147.6";"71.865";"90.0";"100210.0";"36.77";"66.667"
"./data/files/Knapsack4.txt";"3950823.067";"4411.459";"0.0";"3951389.667";"4147.848";"0.0";"3957626.533";"2680.084";"0.0"
"./data/files/Knapsack5.txt";"100431.2";"1895.502";"0.0";"106824.3";"761.656";"0.0";"108701.767";"606.663";"0.0"
"./data/files/Knapsack6.txt";"999402.033";"23833.9";"0.0";"1068405.767";"6788.04";"0.0";"1086534.867";"3877.11";"0.0"
